Abbreviation,Name
集装箱控股,中集集团集装箱控股有限公司
中集BVI,"中集控股（B.V.I.）有限公司
CIMC Holdings (B.V.I.) Limited"
Fentalic,Fentalic Limited
冷链投资,中集集团冷链投资有限公司
东部物流,"深圳南方中集东部物流装备制造有限公司 
Shenzhen Southern CIMC Eastern Logistics Equipment  Manufacture Co., Ltd."
东莞中集,东莞南方中集物流装备制造有限公司
新会中集,"新会中集集装箱有限公司
Xinhui CIMC Container Co. Ltd.(并购)"
新会特箱,"广东新会中集特种运输设备有限公司
GuangDong XINHUI CIMC Special Transpotation Equipment Co.,LTD"
漳州中集,"漳州中集集装箱有限公司
ZHANGZHOU CIMC CONTAINER CO., LTD.（并购）"
宁波物流装备,"宁波中集物流装备有限公司
Ningbo CIMC Logistic Equipment Co.,Ltd"
上海洋山,上海中集洋山物流装备有限公司
上海宝伟,"上海中集宝伟工业有限公司
SHANGHAI CIMC BAOWELL INDUSTRIES CO., LTD（并购）"
南通特箱,"南通中集特种运输设备制造有限公司
Nantong CIMC-Special Transportation Equipment Manufacture Co., Ltd."
太仓中集,"太仓中集集装箱制造有限公司　　                              
Taicang CIMC Container Co., Ltd.　"
太仓特箱,"太仓中集特种物流装备有限公司
TAICANG CIMC SPECIAL LOGISTICS EQUIPMENT CO.,LTD."
太仓冷箱,太仓中集冷藏物流装备有限公司
青岛冷箱,"青岛中集冷藏箱制造有限公司
Qingdao CIMC Reefer Container Manufacture Co., Ltd.（并购）"
青岛特冷,青岛中集特种冷藏设备有限公司
冷链研究院,中集冷链研究院有限公司
青岛中集,青岛中集集装箱制造有限公司Qingdao CIMC Container Manufacture Co. Ltd.（并购）
天津中集,天津中集集装箱有限公司
中集技术,中集技术有限公司
鹏丰创业,深圳中集鹏丰创业投资有限公司
精新相能,北京中集精新相能科技有限公司
中集冷云,中集冷云（北京）供应链管理有限公司
北京智冷,北京中集智冷科技有限公司
成都佳睿,成都佳睿相变科技有限公司
三河精新,三河市精新相能保温材料有限公司
杭州精新,杭州精新相能科技有限公司
理德传动,中集理德传动系统扬州有限公司
前海瑞集,深圳前海瑞集科技有限公司
中集创赢,青岛中集创赢复合材料科技有限公司
扬州通利,扬州通利冷藏集装箱有限公司
扬州润扬,扬州润扬物流装备有限公司
扬州利军,扬州利军工贸有限公司
扬州泰利,扬州泰利特种装备有限公司
南特物流,南通中集特种物流装备发展有限公司
宜客通,中集宜客通零部件有限公司
南通顺达,"南通中集顺达集装箱有限公司
Nantong CIMC-Smooth Sail Container Co. Ltd.（并购）"
纽敦光电,纽敦光电科技（上海）有限公司 
内蒙古木业,"内蒙古呼伦贝尔中集木业有限公司INNERMONGOLIA  HOLONBUIR  CIMC  WOOD CO., LTD."
上海冷箱,"上海中集冷藏箱有限公司
Shanghai CIMC Reefer Container Co. Ltd."
基金公司,基金公司
新余金轩,新余金轩投资管理合伙企业（有限合伙）
中集中车物流基金,深圳中集中车物流与智慧交通股权投资基金合伙企业（有限合伙）
中集新材,中集新型环保材料股份有限公司
深圳新材,深圳市中集新材科技发展有限公司
嘉兴木业,嘉兴中集木业有限公司
宁国木业,宁国中集竹木制品有限公司
湖南木业,湖南中集新材料科技有限公司
浙江腾龙竹业,浙江中集腾龙竹业有限公司
龙岩中集,龙岩中集新材料开发有限公司
力达化学,青岛力达化学有限公司
青岛新材,青岛中集新材料有限公司
江苏中集,江苏中集环保新材料有限公司
徐州中集新材,徐州中集新材科技发展有限公司
徐州木业,徐州中集木业有限公司
盐城中集,盐城中集环保新材料有限公司
浙江鑫隆竹业,浙江鑫隆竹业有限公司
宁国广申,宁国广申竹木制品有限公司
青晨竹业,福建省青晨竹业有限公司
投资控股,深圳中集投资控股有限公司
模块化房屋,深圳中集模块化房屋有限公司
天津北洋,"天津中集北洋集装箱有限公司 
Tianjin CIMC North Ocean Container Co. Ltd.（并购）"
Domino,Domino Flatracks Ltd.(由Clive-Smith Cowly Limited变更而来)
新洋木业,新洋木业（香港）有限公司
南方中集,"深圳南方中集集装箱制造有限公司
Shenzhen Southern CIMC Container Manufacture Co. Ltd."
前海投资,深圳前海中集投资发展有限公司
前海集云,前海集云实业发展（深圳）有限公司
前海精集,前海精集（深圳）实业发展有限公司
前海英集,前海英集（深圳）实业发展有限公司
前海创集,前海创集（深圳）实业发展有限公司
前海盛集,前海盛集（深圳）实业发展有限公司
前海世集,前海世集（深圳）实业发展有限公司
 ,中集车辆(集团)股份有限公司
深圳专用车,深圳中集专用车有限公司 
东莞专用车,东莞中集专用车有限公司
江门车辆,中集车辆（江门市）有限公司
扬州通华,扬州中集通华专用车有限公司  
中集华骏,驻马店中集华骏车辆有限公司  
甘肃华骏,甘肃中集华骏车辆有限公司
芜湖车辆,芜湖中集瑞江汽车有限公司
青岛冷藏车,青岛中集冷藏运输设备有限公司
青岛环保,青岛中集环境保护设备有限公司
青岛中集智能物流装备,青岛中集智能物流装备有限公司
青岛专用车,青岛中集专用车有限公司
山东车辆,中集车辆(山东)有限公司
山东万事达,山东万事达专用汽车制造有限公司
梁山东岳,梁山中集东岳车辆有限公司
西安陕汽,中集陕汽重卡(西安)专用车有限公司
辽宁车辆,中集车辆(辽宁)有限公司
中集凌宇,洛阳中集凌宇汽车有限公司
华骏铸造,驻马店中集华骏铸造有限公司
万佳车轴,驻马店中集万佳车轴有限公司
上海专用车,上海中集专用车有限公司
新疆车辆,中集车辆(集团)新疆有限公司
秦皇岛车辆,中集冀东(秦皇岛)车辆制造有限公司
,镇江中集车辆智能物流装备有限公司
,江门中集智能物流装备有限公司
江苏宝京,江苏宝京汽车部件有限公司
车辆营销,深圳中集车辆营销服务有限公司
车辆销售,深圳中集车辆销售有限公司
广州车辆,广州中集车辆物流装备有限公司
广州销售,广州中集车辆销售有限公司
上海汽销,上海中集汽车销售服务有限公司
上海希玛克,上海希玛克运输服务有限公司
四川车辆,四川中集车辆物流装备有限公司
重庆车辆,重庆中集车辆销售服务有限公司
厦门车辆,厦门中集车辆物流装备有限公司
南宁车辆,南宁中集车辆物流装备有限公司
华骏汽贸,驻马店市中集华骏汽车贸易有限公司
天津车辆,天津中集车辆物流装备有限公司
沈阳车辆,辽宁中集车辆物流装备有限公司
北京汽销,北京中集车辆销售服务有限公司
陕西车辆,陕西中集车辆销售服务有限公司
新疆4S,中集车辆（集团）新疆物流装备有限公司
内蒙古车辆,内蒙古中集车辆物流装备有限公司
湖北车辆,湖北中集车辆销售服务有限公司
成都产业园投资,成都中集产业园投资开发有限公司
成都产业园经营管理,成都中集产业园经营管理有限公司
装备园,上海中集车辆物流装备有限公司 
上海汽检,上海中集汽车检测修理有限公司
上海宝检,上海中集宝检汽车综合检测有限公司
深圳车辆产业园,深圳中集车辆园投资管理有限公司
陕西车辆产业园,陕西中集车辆产业园投资开发有限公司
陕西车辆产业园管理,陕西中集车辆产业园经营管理有限公司
成都交通装备,成都中集交通装备制造有限公司
沈阳中集车辆市场管理,沈阳中集车辆市场管理有限公司
,沈阳中集产业园投资开发有限公司
森钜科技材料,森钜（江门）科技材料有限公司
上海厢通汽车,上海厢通汽车零部件有限公司
凯卓立,深圳市凯卓立液压设备股份有限公司
,森钜（上海）国际贸易有限公司
,上海鑫百勤专用车辆有限公司
,深圳市星火车联科技有限公司
,镇江神行太保科技有限公司
,宁波华翔汽车新材料科技有限公司
,深圳数翔科技有限公司
,江苏万京技术有限公司
江苏挂车帮,江苏挂车帮租赁有限公司
升集物流公司,深圳升集物流运输有限公司
,武汉升集物流运输有限公司
,上海容极物流有限公司
广州甩挂,广州中集车辆甩挂租赁有限公司
"CIMC Vehicle
（BVI）","CIMC Vehicle Investment Holdings Co., Ltd."
万生科技,"Manson Technology Limited
万生科技有限公司"
CIMC Vehicles(HK),CIMC VEHICLES (HK) LTD
Holdings Aus,CIMC Holdings Australia Pty Ltd
Australia Road Transport Equipment Pty,CIMC AUSTRALIA ROAD TRANSPORT EQUIPMENT PTY LTD
CharmBeat,Charm Beat Enterprises Limited 
Vehicle Europe Coöperatie U.A.,CIMC Vehicle Europe Coöperatie U.A.
Burg Carrosserie B.V.,Burg Carrosserie B.V.
Exploitatiemaatschappij Intraprogres B.V.,Exploitatiemaatschappij Intraprogres B.V.
Vehicle Europe GmbH,CIMC Vehicle Europe GmbH
美国中集,"CIMC USA, INC.
中集美国有限公司"
CIE,"CIMC Intermodal Equipment
(前身为Direct Chassis, LLC)"
Vanguard,Vanguard National Trailer Corporation
CRTI,"CIMC REEFER TRAILER,INC."
,CIMC-Commercial Tires Inc.
Vehicle Aus,CIMC Vehicle Australia Pty Ltd
MLI Aus,Marshall Lethlean Industries Pty Ltd
General Transport Equipment Pty,General Transport Equipment Pty Ltd
CIMC Rolling Stock Australia,CIMC Rolling Stock Australia Pty Ltd
,CIMC VEHICLES UK LIMITED
Retlan,Retlan Manufacturing Limited
MDF,MDF Engineering Ltd
SDC,SDC Trailers Limited
CIE UK,CIMC Intermodal Equipment UK Ltd
Lag Polska Sp.z.o.o.,LAG Polska Sp.z.o.o.
LAG Service Polska Sp.z.o.o,LAG Service Polska Sp.z.o.o
LAG Immopolska Sp.z.o.o.,LAG Immopolska Sp.z.o.o.
Trailer Poland SP Zoo,CIMC Trailer Poland SP Zoo
Burg trailer Service BV,Burg Trailer Service B.V.
Burgers Carrosserie B.V.,Burgers Carrosserie B.V.
Lag Trailers NV Bree,Lag Trailers NV Bree
,Immoburg NV 
中集泰国,"CIMC Vehicle (Thailand) Co., Ltd.
中集车辆(泰国)有限公司"
阿拉伯工厂,CIMC Arabia Factory Company Limited 中集阿拉伯工厂有限责任公司
VEHICLES (MALAYSIA) SDN BHD,CIMC VEHICLES (MALAYSIA) SDN BHD
"CIMC VEHICLES (VIETNAM) CO., LTD","CIMC Vehicles (Vietnam) Co.,Ltd."
Vehicles South Africa,CIMC Vehicles South Africa （Pty）Ltd
CIMC TRAILER RUS LLC,CIMC TRAILER RUS LLC
CVBH,CIMC Vehicles (Bahrain) Factory WLL
,Growth Fortune (Pty) Ltd
,Growth Fortune FZE
,"CIMC REFRIGERATED TRAILER CO., LTD."
Charm Wise,Charm Wise Limited
中集罐式储运装备,"中集罐式储运装备投资控股有限公司
Cimc Tank Equipment Investment Holdings Company  Limited"
安瑞科控股,"中集安瑞科控股有限公司
CIMC Enric Holdings Limited（前身为安瑞科能源装备控股有限公司
Enric Energy Equipment Holdings Limited ）"
安瑞科投资,"安瑞科投资集团有限公司           
Enric Investment Group Limited"
安瑞科廊坊投资,"安瑞科廊坊投资有限公司  
Enric Langfang Investment Limited (前身为 Canwin International Limited)"
安瑞科安徽投资,"安瑞科安徽投资有限公司
Enric Anhui Investment Limited"
安瑞科石家庄投资,"安瑞科石家庄投资有限公司
Enric Shijiazhuang
Investment Limited"
安瑞科集成(香港),"安瑞科集成(香港)有限公司  
Enric Integration (HK) Company Limited "
安瑞科香港,"中集安瑞科香港有限公司
CIMC Enric HongKong Limited "
安瑞科深圳投资控股,中集安瑞科投资控股(深圳)有限公司
荆门能源装备,中集安瑞科（荆门）能源装备有限公司
Enric Management,Enric Management Limited
石家庄气体机械,石家庄安瑞科气体机械有限公司
储运气体装备,"中集安瑞科储运气体装备公司CIMC ENRIC SJZ GAS EQUIPMENT,INC."
昆仑深冷机械,酒泉市安瑞科昆仑深冷机械有限责任公司
扬州气体机械,安瑞科气体机械扬州有限公司
廊坊能源装备,安瑞科(廊坊)能源装备集成有限公司
蚌埠压缩机,安瑞科（蚌埠）压缩机有限公司
北京新能源,北京安瑞科新能能源科技有限公司
宏图特种飞行器,荆门宏图特种飞行器制造有限公司
南京扬子石化,南京扬子石油化工设计工程有限责任公司
四川金科深冷,四川金科深冷设备工程有限公司
辽宁哈深冷,辽宁中集哈深冷气体液化设备有限公司
四川哈深冷,四川哈深冷天然气工程有限公司
山东金鲁班,山东金鲁班洁能有限公司
Sound Winner Holdings,Sound Winner Holdings Limited
Win Score Investments,Win Score Investments Limited
Perfect Vision International,Perfect Vision International Limited
南通能源装备,"南通中集能源装备有限公司
NANTONG CIMC ENERGY EQUIPMENT CO,,LTD"
南通食品装备,南通中集安瑞科食品装备有限公司
南通港务,南通中集港务发展有限公司
上海天照,上海中集天照清洁能源有限公司
中集绿建,中集绿建环保科技有限公司
南通罐式储运设备,"南通中集罐式储运设备制造有限公司 Nantong CIMC Tank Equipment Co.,LTD"
上海罐联,上海罐联供应链科技发展有限公司
,南通顺吉海洋工程技术有限公司
CIMC SOE,南通中集太平洋海洋工程有限公司
TGE GAS INVESTMENT,CIMC TGE GAS INVESTMENT SA
上海梯杰易贸易,梯杰易贸易（上海）有限公司
上海乔特波工程设计,乔特波工程设计咨询（上海）有限公司
TGE Gas Engineering Private,TGE Gas Engineering Private Limited
上海梯杰易气体工程技术,上海梯杰易气体工程技术有限公司
TGE Gas Engineering GmbH,TGE Gas Engineering GmbH
Technodyne International,Technodyne International Limited
TGE Russia,OOO TGE Gas Engineering Rus
Charm Ray Holdings,Charm Ray Holdings Limited
张家港圣达因低温装备,张家港中集圣达因低温装备有限公司
绿能深冷工程,张家港绿能深冷工程有限公司
张家港圣达因特种装备,张家港中集圣达因特种装备有限公司
圣达因低温装备南通,中集圣达因低温装备南通有限公司
张家港保税区欧圣汽车销售,张家港保税区欧圣汽车销售有限公司
,中集安瑞科能源装备（苏州）有限公司
,安捷汇物联信息技术（苏州）有限公司
Full Medal,"CIMC Enric Investment Limited
（于201907更名为：CIMC Enric Investment Limited，更名前：Full Medal Limited）"
Coöperatie Vela Holding U.A.,Coöperatie Vela Holding U.A.
ENRIC Tank and Process B.V.,CIMC ENRIC Tank and Process B.V.
Noordkoel B.V. ,Noordkoel B.V. 
Holvrieka N.V.,Ziemann Holvrieka N.V.
Holvrieka B.V.,Ziemann Holvrieka B.V.
Holvrieka A/S,Ziemann Holvrieka A/S
Ziemann Holvrieka International B.V.,Ziemann Holvrieka International B.V.
Nirota B.V.,Nirota B.V.
Ziemann Holvrieka GmbH,Ziemann Holvrieka GmbH
Ziemann Asia-Holding,Ziemann Holvrieka Asia-Holding Co. Ltd.
Ziemann Asia-Pacific,Ziemann Asia-Pacific Co. Ltd.
Ziemann USA ,Ziemann Holvrieka Inc.
Burg Service B.V.,Burg Service B.V.
,Briggs Group Limited
,Briggs Holdings Limited
,Briggs of Burton PLC
,Briggs Pension Trustees Limited
,Briggs of Burton Inc.
,Giusti Limited
,Burnett & Rolfe (Burton) Limited
,DME Process Systems Ltd
,CIMC Enric Tank and Process Ltd
,Enric GTH Singapore Investment Holdings PTE. LTD. 
,CIMC Enric Energy Engineering (S) PTE. LTD. 
,中集绿建环保新材料（连云港）有限公司
,中集环境科技有限公司
,中集能源装备服务（江苏）有限公司
宁夏长明,宁夏长明天然气开发有限公司
山西天浩,山西天浩清洁能源有限公司
青铜峡长明,青铜峡市长明天然气有限公司
亿能新能源,宁夏长明亿能新能源开发有限公司
万里豪运输,宁夏万里豪运输有限公司
高沙窝站,宁夏长明高沙窝天然气加气站有限公司
王乐井站,宁夏长明王乐井天然气加气站有限公司
双闽新能源,石嘴山双闽新能源有限公司
中集博格,嘉兴中集博格罐箱服务有限公司
贵州银科,贵州银科环境资源有限公司
环科云南,中集（云南）再生资源有限公司
东莞集科安,东莞市集科安商务咨询有限公司
诸暨环保,诸暨安瑞科环保公司
罐箱英国研发中心,CIMC Tank Engineering & Service Ltd.
,陕西安瑞科气体机械有限公司
宜川天韵,宜川天韵清洁能源有限公司
LFTS,Lindenau Full Tank Services GmbH
Offshore Holdings,CIMC Offshore Holdings Limited
Raffles Leasing Pte,CIMC Raffles Leasing Pte Ltd
Raffles Investments,CIMC Raffles Investments Limited
Floating Castle,Floating Castle Limited
Offshore (Singapore),"CIMC RAFFLES OFFSHORE (SINGAPORE) PTE. LTD.
中集来福士海洋工程（新加坡）私人有限公司"
Offshore Accomodation Pte,Bluewhale Offshore Pte. Ltd.
Pelican Waters Investment,Pelican Waters Investment Ltd
Deepwater Venture Pte,Bluewhale Offshore Rig Management Pte. Ltd.
Gadidae AB,Gadidae AB
Marine Subsea & Consafe ,Marine Subsea & Consafe Limited
Caspian Driller Pte,Caspian Driller Pte. Ltd.
Ocean Challenger Pte,Ocean Challenger Pte. Ltd.
Coral Offshore Pte,Coral Offshore Pte. Ltd.
Anasol,Anasol Limited
Master Driller,Master Driller Limited
天津凯胜租赁,天津凯胜海洋工程设备租赁有限公司
White Coral Offshore,White Coral Offshore Limited
烟台来福士,"烟台中集来福士海洋工程有限公司
Yantai CIMC Raffles Offshore Ltd
"
海阳来福士,"海阳中集来福士海洋工程有限公司
Haiyang CIMC Raffles Offshore Ltd"
龙口来福士,Longkou CIMC Raffles Offshore Ltd
Distinct International,Distinct International Limited
Infinitum International,Infinitum International Limited
Dynamic Driller ,Dynamic Driller Limited
Ocean Prospector,Ocean Prospector Limited
Elegant Driller,Elegant Driller Ltd
Surpass Driller,Surpass Driller Ltd
Deepwater Explorer,Deepwater Explorer Limited
Gulf Driller I,Gulf Driller I Limited
Gulf Driller II,Gulf Driller II Limited
Top Driller,Top Driller Limited
Proficient Offshore,Proficient Offshore Limited
Brilliant Offshore,Brilliant Offshore Limited
Dynamic Driller II,Dynamic Driller II Limited
Gulf Driller III,Gulf Driller III Limited
Future Success International,Future Success International Ltd
海工研究院,中集海洋工程研究院有限公司
CMIC Ocean,"CMIC Ocean En-Tech Holding Co., Ltd.(原名：TSC Offshore Group Limited ）
"
Ultra Charm Global,Ultra Charm Global Limited
Oriental Charms International,Oriental Charms International Limited
SWEET DEALS HOLDINGS,SWEET DEALS HOLDINGS LIMITED
COLOURFUL RAINBOW HOLDINGS,COLOURFUL RAINBOW HOLDINGS LIMITED
Colour Waves Offshore,Colour Waves Offshore Limited 
Bassoe Technology AB,Bassoe Technology AB
Brevik  Engeering AS,Brevik  Engeering AS
Gulf Driller IV,Gulf Driller IV Limited
Gulf Driller V ,Gulf Driller V Limited
Ocean Innovator,Ocean Innovator Limited
Elegant Driller I,Elegant Driller I Ltd
Elegant Driller II,Elegant Driller II Ltd
Elegant Driller III,Elegant Driller III Ltd
Elegant Driller IV,Elegant Driller IV Ltd
铁中宝,"烟台铁中宝钢铁加工有限公司
Yantai Tiezhongbao  Steel  Processing Co.,Ltd . 
"
中集海控,"中集海洋工程有限公司
CIMC Offshore Holidings Co., Ltd"
天津蓝水,天津蓝水海洋工程合伙企业（有限合伙）
烟台蓝海洋,烟台中集蓝海洋科技有限公司
Prometheus Venture B.V.,Prometheus Venture B.V.
CIMC OOS PROMETHEUS B.V.,CIMC OOS PROMETHEUS B.V.
CIMC Offshore AS,CIMC Offshore AS
CIMC Offshore International,CIMC Offshore International holding Pte. Ltd.
Elegant Driller SG,Elegant Driller Pte Ltd
Surpass Driller SG,Surpass Driller Pte Ltd
Dynamic Driller II SG,Dynamic Driller II Pte Ltd
Gulf Driller IV SG,Gulf Driller IV Pte Ltd
Gulf Driller V SG,Gulf Driller V Pte Ltd
BWO MX,BWO Mexico S.A. de C.V.
经海渔业,烟台经海海洋渔业有限公司
,板块本部
烟台中集莱佛士船业,"烟台中集莱佛士船业有限公司
Yantai CIMC Raffles Shipyard Co., Ltd
"
Raffles Yacht,CIMC Raffles Yacht Limited
南隍城海洋,山东南隍城海洋开发有限公司
重卡,集瑞联合重工有限公司
联合卡车营销公司,集瑞联合卡车营销服务有限公司
佳景科技,芜湖佳景科技有限公司
联合新能源,芜湖联合新能源重卡产业技术研究院有限公司
安徽联合飞彩,安徽联合飞彩车辆有限公司
玉柴联合动力,玉柴联合动力股份有限公司
安徽飞彩集团,安徽飞彩（集团）有限公司
深圳三华卓悦,深圳三华卓悦投资有限公司
河南一达天下物流,河南一达天下物流科技有限公司
合肥创宇新能源,合肥创宇新能源科技有限公司
现代物流,中集现代物流发展有限公司
中集国际航运,中集国际航运有限公司
SPEEDIC ENTERPRICE,SPEEDIC ENTERPRICE CROP.
Speedic Equipment Services,Speedic Equipment Services Corp
Asia cargo,亚洲凌云有限公司（Asia cargo）
东莞小飞鱼,东莞中集小飞鱼物流科技有限公司
中世运投资,中世运（北京）投资有限公司
中世运物流,中世运（北京）国际物流有限公司
中世运贸易,中世运（北京）国际贸易有限公司
中世运货代,中世运（天津）国际货运代理有限公司
中世运香港,中世运（香港）国际物流有限公司
丑鸭,丑鸭有限公司
中集凯通,中集凯通物流发展有限公司
张家港凯通,张家港凯通国际物流有限公司
江苏凯通,江苏凯通航运有限公司
凯通武汉,中集凯通（武汉）物流发展有限公司
凯通江西,中集凯通（江西）物流发展有限公司
凯通陕西,中集凯通（陕西）物流发展有限公司
中集苏杭,中集苏航（常州）物流有限公司
凯通江苏国际,中集凯通江苏国际多式联运有限公司
凯通苏州,中集凯通（苏州）物流发展有限公司
广西凯通,中集凯通（广西）供应链管理有限公司
宇常通,宇常通多式联运（江苏）有限公司
柏坚控股,柏坚国际控股有限公司
栢坚香港,柏坚货柜机械维修有限公司
深圳柏坚,柏坚货柜机械维修（深圳）有限公司
上海柏坚,柏坚货柜机械维修（上海）有限公司
青岛恒丰,青岛恒丰物流有限公司
上海振洋,中集振洋（上海）物流有限公司
上海东华,东华集装箱综合服务有限公司
上海利帆,上海利帆集装箱服务有限公司
宁波服务,宁波中集集装箱服务有限公司
南方服务,"深圳南方中集集装箱服务有限公司
Shenzhen Southern CIMC Container Service Co. Ltd."
盐田服务,深圳中集盐田港集装箱服务有限公司
泰国服务,CIMC LOGISTIC SERVICE (THAILAND) COMPANY LIMITED
广州服务,广州中集集装箱维修服务有限公司
中集集新,中集集新物流发展有限公司
南方物流,深圳南方中集物流有限公司
振华物流,振华物流集团有限公司
天津报关行,天津振华报关行有限公司
青岛报关行,青岛振华报关行有限公司
天津船代,天津振华国际船舶代理有限公司
宁波船代,宁波振华国际船务代理有限公司
大连船代,大连振华国际船务代理有限公司
连云港船代,连云港振华国际船舶代理有限公司
青岛船代,振华国际船务代理（青岛）有限公司
上海船代,上海振华国际船务代理有限公司
盐城船代,盐城振华国际船舶代理有限公司
烟台船代,烟台振华国际船务代理有限公司
物流运输,天津振华国际物流运输有限公司
振华东疆,振华东疆（天津）有限公司
保税仓储,天津振华国际贸易保税仓储有限公司
振华油站,天津港保税区振华加油站
港湾油站,天津港保税区港湾加油服务有限责任公司
振华香港,振华物流（香港）有限公司
豊華,豊華物流有限公司
振华海晶,天津振华海晶物流有限公司
天津国润,天津国润振华能源技术有限公司
凯昌石油,天津港保税区凯昌石油销售有限公司
供应链,振华（天津）供应链管理有限公司
集装箱服务,天津振华集装箱服务有限公司
振华东非,振华物流（东非）有限公司
营口船代,营口振华国际船务代理有限公司
蓬莱船代,蓬莱振华国际船务代理有限公司
振华坦桑尼亚,振华物流（坦桑尼亚）有限公司
振华卢旺达,SUMMIT INTERNATIONAL LOGISTICS LTD
振华越南,振华物流（越南）有限公司
涅浦顿,涅浦顿供应链科技（上海）股份有限公司
Neptune,Neptune Shipping Limited
涅浦顿供应链管理,上海涅浦顿供应链管理有限公司
上海翘曲点,翘曲点供应链（上海）有限公司
江苏涅浦顿,江苏涅浦顿供应链有限责任公司
青岛涅浦顿,青岛涅浦顿供应链科技有限公司
大连涅浦顿,大连涅浦顿供应链科技有限公司
山东翘曲点,山东翘曲点供应链管理有限公司
首农食品,天津港首农食品进出口贸易有限公司
赤峰绿田园,赤峰绿田园农场有限公司
加华海运,加华海运有限公司
世铁特货,世铁特货（北京）国际物流有限公司
上海德威,上海柏坚德威集装箱维修有限公司
青岛捷丰,青岛捷丰柏坚货柜维修有限公司
天津金狮,天津金狮柏坚集装箱维修有限公司
大连集龙,大连集龙柏坚货柜维修有限公司
大连集龙物流,大连集龙物流有限公司
厦门中集海投,厦门中集海投集装箱服务有限公司
青岛港联华,青岛港联华国际物流有限公司
宁波北仑东华,宁波北仑东华集装箱服务有限公司
宁波地中海堆场,宁波地中海集装箱堆场有限公司
鑫都货运,鑫都货运有限公司
上海天珠,天珠（上海）国际货运代理有限公司
日邮振华,日邮振华物流（天津）有限公司
川崎振华,川崎振华物流（天津）有限公司
首农牧业,天津首农东疆牧业有限责任公司
青岛港国贸,青岛港国际贸易物流有限公司
ZPMC-RED BOX,ZPMC-RED BOX ENERGY SERVICES LIMITED
天津港振华,天津港中集振华物流有限公司
滨海中远,天津滨海中远集装箱物流有限公司
中集东瀚,中集东瀚（上海）航运有限公司
天达控股深圳,中集天达控股（深圳）有限公司
天达控股香港,"中集天达控股有限公司
（原：中国消防集团企业控股有限公司）                   
CIMC-TianDa Holdings Company Limited"
